ADDRESS,TYPE,WALK_LIGHT,BUFF_DIST,ORIG_FID,Shape_Length,Shape_Area,mean_Crashhour,std_Crashhour,mean_Age_NM,Point_Count,Minority_Crash_Severity_Description,Majority_Crash_Severity_Description,Minority_Crash_Severity_Description_Percent,Majority_Crash_Severity_Description_Percent,Join_ID
Rhode Island Ave & Edgewood Rd,Bar,Yes,164.041666666666657,1,1189.574437120010316,111197.643646255091880,16.000000000000000,1.414213562373095,,2,Property Damage Crashes,Property Damage Crashes,100.000000000000000,100.000000000000000,1
Rhode Island Ave & Paducah Rd,Zebra Stripe,No,164.041666666666657,2,1129.851495790304625,101050.495539253737661,15.000000000000000,0.000000000000000,,1,Property Damage Crashes,Property Damage Crashes,100.000000000000000,100.000000000000000,2
Rhode Island Ave & Odessa Rd,Zebra Stripe,RRFB,164.041666666666657,3,1133.404210612947509,101672.923668404677301,,,,0,,,,,3
Rhode Island Ave & Niagara Rd,Zebra Stripe,No,164.041666666666657,4,1111.145618394056328,97956.631287059470196,13.000000000000000,11.135528725660043,,3,Injury Crashes,Property Damage Crashes,33.333333333333329,66.666666666666657,4
Rhode Island Ave & Niagara Rd,Zebra Stripe,No,164.041666666666657,5,1091.027320664851004,94559.953855930216378,11.500000000000000,9.574271077563381,,4,Injury Crashes,Property Damage Crashes,25.000000000000000,75.000000000000000,5
,,,164.041666666666657,6,1128.110257828450813,100791.830807058504433,,,,0,,,,,6
,,,164.041666666666657,7,1127.391331858478225,100692.866219654621091,,,,0,,,,,7
,,,164.041666666666657,8,1110.526205165148212,97850.057242197726737,,,,0,,,,,8
,,,164.041666666666657,9,1095.494799670398152,95330.386606045241933,,,,0,,,,,9
Edgewood Rd & Rhode Island Ave,Bar,Yes,164.041666666666657,10,1165.606625700028872,107177.145068626719876,16.000000000000000,1.414213562373095,,2,Property Damage Crashes,Property Damage Crashes,100.000000000000000,100.000000000000000,10
Rhode Island Ave & Edgewood Rd,Bar,Yes,164.041666666666657,11,1209.666375901674655,114568.036121129363892,16.000000000000000,1.414213562373095,,2,Property Damage Crashes,Property Damage Crashes,100.000000000000000,100.000000000000000,11
