Crash Severity Description,Reportnumber,CollisionImpact Description,Crash County Description,Large Vehicle Involved,Motorcycle Crash,Non-Motorist Crash,Person ID Contribs,PersonID NM,PersonID NMSafetyEquip,PersonID Occ,RoadName,Unrestrained Occupants,VehicleID Damage,VehicleID Sequence,VehicleID,Work Zone Crash,CrashPoint,Latitude (generated),Longitude (generated)
,ZP05430003,,,,,,,,,,,,,,,Unknown,Point,38.816931920,-76.749498997
,ZP05350003,,,,,,,,,,,,,,,Unknown,Point,38.816394402,-76.748682816
,ZP05350002,,,,,,,,,,,,,,,Unknown,Point,38.811011727,-76.713298307
,ZP05190004,,,,,,,,,,,,,,,Unknown,Point,38.882856327,-76.844153272
,ZP05190003,,,,,,,,,,,,,,,Unknown,Point,38.677091893,-76.874408596
,ZP05110005,,,,,,,,,,,,,,,Unknown,Point,38.823685482,-76.739660513
,ZP04920005,,,,,,,,,,,,,,,Unknown,Point,38.906991908,-76.854673116
,ZP04880004,,,,,,,,,,,,,,,Unknown,Point,38.988724240,-76.983639424
,ZP04530005,,,,,,,,,,,,,,,Unknown,Point,38.817037120,-76.779631324
,ZP03330002,,,,,,,,,,,,,,,Unknown,Point,38.886699711,-76.719518984
,ZP0515000D,,,,,,,,,,,,,,,Unknown,Point,38.884477780,-76.814847427
,ZP0383000J,,,,,,,,,,,,,,,Unknown,Point,38.821150085,-76.889722826
,ZP0375000C,,,,,,,,,,,,,,,Unknown,Point,38.917226262,-76.849072971
,ZP0375000B,,,,,,,,,,,,,,,Unknown,Point,38.815847315,-76.749938629
,ZH036100JH,,,,,,,,,,,,,,,Unknown,Point,38.653659065,-76.831798468
,RD01380003,,,,,,,,,,,,,,,Unknown,Point,38.964804605,-76.938958643
,RD01380001,,,,,,,,,,,,,,,Unknown,Point,38.962472903,-76.929241571
,RD01350009,,,,,,,,,,,,,,,Unknown,Point,38.959019417,-76.919498656
,RD01350008,,,,,,,,,,,,,,,Unknown,Point,38.960524881,-76.925894869
,RD01350007,,,,,,,,,,,,,,,Unknown,Point,38.960507754,-76.919694611
,RD01350006,,,,,,,,,,,,,,,Unknown,Point,38.958883864,-76.919993570
,RD01340011,,,,,,,,,,,,,,,Unknown,Point,38.958983883,-76.919778417
,RD01340010,,,,,,,,,,,,,,,Unknown,Point,38.959682552,-76.939769216
,RD01330018,,,,,,,,,,,,,,,Unknown,Point,38.954969413,-76.923282126
,RD01330016,,,,,,,,,,,,,,,Unknown,Point,38.959658721,-76.917730254
,RD01330013,,,,,,,,,,,,,,,Unknown,Point,38.965734275,-76.938657550
,RD01330012,,,,,,,,,,,,,,,Unknown,Point,38.962807153,-76.936334137
,RD01310059,,,,,,,,,,,,,,,Unknown,Point,38.962906928,-76.930835169
,RD01300051,,,,,,,,,,,,,,,Unknown,Point,38.964667407,-76.939035074
,RD01300050,,,,,,,,,,,,,,,Unknown,Point,38.971814096,-76.915588594
,RD01270075,,,,,,,,,,,,,,,Unknown,Point,38.962482046,-76.939359023
,RD01270074,,,,,,,,,,,,,,,Unknown,Point,38.964543252,-76.939030868
,RD01270073,,,,,,,,,,,,,,,Unknown,Point,38.969578025,-76.916737013
,RD01270072,,,,,,,,,,,,,,,Unknown,Point,38.960370738,-76.919810903
,RD01270071,,,,,,,,,,,,,,,Unknown,Point,38.960036672,-76.917678020
,RD01270070,,,,,,,,,,,,,,,Unknown,Point,38.963327361,-76.932806169
,RD01260048,,,,,,,,,,,,,,,Unknown,Point,38.960669759,-76.921055806
,RD01260047,,,,,,,,,,,,,,,Unknown,Point,38.959480442,-76.939778298
,RD01260046,,,,,,,,,,,,,,,Unknown,Point,38.969061839,-76.937342188
,RD01260045,,,,,,,,,,,,,,,Unknown,Point,38.942706095,-76.934575486
,RD01260044,,,,,,,,,,,,,,,Unknown,Point,38.964334620,-76.939571799
,RD01260042,,,,,,,,,,,,,,,Unknown,Point,38.960138946,-76.917646752
,RD01240059,,,,,,,,,,,,,,,Unknown,Point,38.963182970,-76.939431858
,RD01240057,,,,,,,,,,,,,,,Unknown,Point,38.968576007,-76.938464948
,RD01240056,,,,,,,,,,,,,,,Unknown,Point,38.959345438,-76.917882994
,RD01190041,,,,,,,,,,,,,,,Unknown,Point,38.953066067,-76.923948005
,RD0136000K,,,,,,,,,,,,,,,Unknown,Point,38.963115864,-76.939302218
,RD0136000J,,,,,,,,,,,,,,,Unknown,Point,38.970349712,-76.909602392
,RD0136000H,,,,,,,,,,,,,,,Unknown,Point,38.965543380,-76.938918659
,RD0136000G,,,,,,,,,,,,,,,Unknown,Point,38.961570417,-76.939469891
,RD0135000L,,,,,,,,,,,,,,,Unknown,Point,38.962878586,-76.930897582
,RD0135000J,,,,,,,,,,,,,,,Unknown,Point,38.962331560,-76.939408392
,RD0135000H,,,,,,,,,,,,,,,Unknown,Point,38.958931466,-76.920107851
,RD0135000G,,,,,,,,,,,,,,,Unknown,Point,38.960372140,-76.919853751
,RD0135000F,,,,,,,,,,,,,,,Unknown,Point,38.964589696,-76.939018800
,RD0135000D,,,,,,,,,,,,,,,Unknown,Point,38.957859417,-76.918741292
,RD0135000C,,,,,,,,,,,,,,,Unknown,Point,38.960937208,-76.922349226
,RD0135000B,,,,,,,,,,,,,,,Unknown,Point,38.963437254,-76.933895894
,RD0134000Z,,,,,,,,,,,,,,,Unknown,Point,38.963770406,-76.920102793
,RD0134000Y,,,,,,,,,,,,,,,Unknown,Point,38.959067689,-76.919190615
,RD0134000X,,,,,,,,,,,,,,,Unknown,Point,38.964165606,-76.939176722
,RD0134000W,,,,,,,,,,,,,,,Unknown,Point,38.960168628,-76.917682774
,RD0133001H,,,,,,,,,,,,,,,Unknown,Point,38.964073571,-76.939512556
,RD0133001G,,,,,,,,,,,,,,,Unknown,Point,38.960373542,-76.919836014
,RD0133001D,,,,,,,,,,,,,,,Unknown,Point,38.961142609,-76.929314101
,RD0133001C,,,,,,,,,,,,,,,Unknown,Point,38.958866188,-76.920190743
,RD0133001B,,,,,,,,,,,,,,,Unknown,Point,38.960359767,-76.919846620
,RD0131005C,,,,,,,,,,,,,,,Unknown,Point,38.964633092,-76.939043668
,RD0131005B,,,,,,,,,,,,,,,Unknown,Point,38.964527832,-76.939083529
,RD0130004Z,,,,,,,,,,,,,,,Unknown,Point,38.959544866,-76.939527854
,RD0130004Y,,,,,,,,,,,,,,,Unknown,Point,38.955301773,-76.923080808
,RD0130004X,,,,,,,,,,,,,,,Unknown,Point,38.957382727,-76.931289917
,RD0130004W,,,,,,,,,,,,,,,Unknown,Point,38.959235362,-76.939408332
,RD0130004V,,,,,,,,,,,,,,,Unknown,Point,38.952849512,-76.923889432
,RD0130004S,,,,,,,,,,,,,,,Unknown,Point,38.959381094,-76.919663099
,RD0130004R,,,,,,,,,,,,,,,Unknown,Point,38.964081617,-76.938329761
,RD0130004Q,,,,,,,,,,,,,,,Unknown,Point,38.960378784,-76.919219749
,RD0130004P,,,,,,,,,,,,,,,Unknown,Point,38.962520688,-76.929127838
,RD0130004N,,,,,,,,,,,,,,,Unknown,Point,38.958191960,-76.921345441
,RD0130004M,,,,,,,,,,,,,,,Unknown,Point,38.964704221,-76.939505303
,RD0130004L,,,,,,,,,,,,,,,Unknown,Point,38.956673147,-76.931602468
,RD0130004K,,,,,,,,,,,,,,,Unknown,Point,38.959170633,-76.918579409
,RD0130004J,,,,,,,,,,,,,,,Unknown,Point,38.961335150,-76.923704266
,RD0130004H,,,,,,,,,,,,,,,Unknown,Point,38.958419791,-76.918000018
,RD0130004G,,,,,,,,,,,,,,,Unknown,Point,38.960189473,-76.934451392
,RD0127006Z,,,,,,,,,,,,,,,Unknown,Point,38.959202510,-76.939811333
,RD0127006Y,,,,,,,,,,,,,,,Unknown,Point,38.972037173,-76.915236607
,RD0127006X,,,,,,,,,,,,,,,Unknown,Point,38.960515495,-76.919861796
,RD0127006W,,,,,,,,,,,,,,,Unknown,Point,38.958043668,-76.920754226
,RD0124005F,,,,,,,,,,,,,,,Unknown,Point,38.971896379,-76.906981848
,RD0124005D,,,,,,,,,,,,,,,Unknown,Point,38.967006728,-76.938699605
,RD0124005C,,,,,,,,,,,,,,,Unknown,Point,38.960184414,-76.917645838
,RD0124005B,,,,,,,,,,,,,,,Unknown,Point,38.957277466,-76.921440949
,RD0123005R,,,,,,,,,,,,,,,Unknown,Point,38.958730697,-76.919911471
,RD0123005Q,,,,,,,,,,,,,,,Unknown,Point,38.959168135,-76.918899579
,RD0123005P,,,,,,,,,,,,,,,Unknown,Point,38.964548189,-76.939623973
,RD0123005M,,,,,,,,,,,,,,,Unknown,Point,38.964064551,-76.937366690
,RD0123005L,,,,,,,,,,,,,,,Unknown,Point,38.960161680,-76.917633160
,RD0112008C,,,,,,,,,,,,,,,Unknown,Point,38.955344499,-76.922445771
,RD0103008D,,,,,,,,,,,,,,,Unknown,Point,38.960975789,-76.922027349
,NRP15900001,,,,,,,,,,,,,,,Unknown,Point,38.659959037,-76.835636610
,MSP78750059,,,,,,,,,,,,,,,Unknown,Point,38.809436536,-76.965805522
,MSP78750056,,,,,,,,,,,,,,,Unknown,Point,38.811868318,-76.961739976
,MSP78750054,,,,,,,,,,,,,,,Unknown,Point,38.811958341,-76.961889974
,MSP78750053,,,,,,,,,,,,,,,Unknown,Point,38.756773197,-76.810305861
,MSP78750052,,,,,,,,,,,,,,,Unknown,Point,38.685518349,-76.872361652
,MSP78750051,,,,,,,,,,,,,,,Unknown,Point,38.818781691,-76.931243351
,MSP78750047,,,,,,,,,,,,,,,Unknown,Point,38.806701649,-76.988649999
,MSP78750044,,,,,,,,,,,,,,,Unknown,Point,38.834101650,-76.871176663
,MSP78750043,,,,,,,,,,,,,,,Unknown,Point,38.933833485,-76.855029673
,MSP78750042,,,,,,,,,,,,,,,Unknown,Point,38.818283364,-76.933493319
,MSP78750041,,,,,,,,,,,,,,,Unknown,Point,38.846278358,-76.861903307
,MSP78750040,,,,,,,,,,,,,,,Unknown,Point,38.796055030,-77.014016648
,MSP78750036,,,,,,,,,,,,,,,Unknown,Point,38.802956639,-76.998536695
,MSP78750033,,,,,,,,,,,,,,,Unknown,Point,38.817658322,-76.907106673
,MSP78750032,,,,,,,,,,,,,,,Unknown,Point,38.873128224,-76.843500803
,MSP78750030,,,,,,,,,,,,,,,Unknown,Point,38.788365337,-76.897440251
,MSP78750028,,,,,,,,,,,,,,,Unknown,Point,38.811218347,-76.766319971
,MSP78750027,,,,,,,,,,,,,,,Unknown,Point,38.749005793,-76.879776034
,MSP78750024,,,,,,,,,,,,,,,Unknown,Point,38.672280014,-76.876240021
,MSP78750023,,,,,,,,,,,,,,,Unknown,Point,38.755613319,-76.879130025
,MSP78750022,,,,,,,,,,,,,,,Unknown,Point,38.794713643,-77.015419594
,MSP78750021,,,,,,,,,,,,,,,Unknown,Point,38.819140016,-76.915794970
,MSP78750020,,,,,,,,,,,,,,,Unknown,Point,38.865344973,-76.776336673
,MSP78750019,,,,,,,,,,,,,,,Unknown,Point,38.794609052,-77.019365739
,MSP78750018,,,,,,,,,,,,,,,Unknown,Point,38.915904623,-76.844673968
,MSP78750016,,,,,,,,,,,,,,,Unknown,Point,38.817836661,-76.840199996
,MSP78720049,,,,,,,,,,,,,,,Unknown,Point,38.884255007,-76.844533905
,MSP78720048,,,,,,,,,,,,,,,Unknown,Point,38.755594608,-76.810629079
,MSP78720046,,,,,,,,,,,,,,,Unknown,Point,38.819750308,-76.925874268
,MSP78720044,,,,,,,,,,,,,,,Unknown,Point,38.677668845,-76.875505330
,MSP78720043,,,,,,,,,,,,,,,Unknown,Point,38.724032821,-76.880124790
,MSP78720041,,,,,,,,,,,,,,,Unknown,Point,38.892536463,-76.827489305
,MSP78720040,,,,,,,,,,,,,,,Unknown,Point,38.892715778,-76.847729268
,MSP78720038,,,,,,,,,,,,,,,Unknown,Point,38.782202746,-76.896362655
,MSP78720037,,,,,,,,,,,,,,,Unknown,Point,38.777807034,-76.889104488
,MSP78720036,,,,,,,,,,,,,,,Unknown,Point,38.776362885,-76.887848919
,MSP78720035,,,,,,,,,,,,,,,Unknown,Point,38.847427387,-76.861615318
,MSP78720034,,,,,,,,,,,,,,,Unknown,Point,38.671445304,-76.876292011
,MSP78720033,,,,,,,,,,,,,,,Unknown,Point,38.936756341,-76.718002244
,MSP78720031,,,,,,,,,,,,,,,Unknown,Point,38.801335309,-76.777371177
,MSP78720029,,,,,,,,,,,,,,,Unknown,Point,38.920235241,-76.852195621
,MSP78720027,,,,,,,,,,,,,,,Unknown,Point,38.772772200,-76.886327912
,MSP78720026,,,,,,,,,,,,,,,Unknown,Point,38.912397074,-76.717374520
,MSP78720024,,,,,,,,,,,,,,,Unknown,Point,38.912019611,-76.717241893
,MSP78720023,,,,,,,,,,,,,,,Unknown,Point,38.881473555,-76.843674510
,MSP78720022,,,,,,,,,,,,,,,Unknown,Point,38.812483181,-76.721704772
,MSP78720021,,,,,,,,,,,,,,,Unknown,Point,38.813873328,-76.912828352
,MSP78720020,,,,,,,,,,,,,,,Unknown,Point,38.902083363,-76.758146640
,MSP78710049,,,,,,,,,,,,,,,Unknown,Point,39.060622111,-76.886820998
,MSP78710047,,,,,,,,,,,,,,,Unknown,Point,39.034038779,-76.908584040
,MSP78710045,,,,,,,,,,,,,,,Unknown,Point,38.993141529,-76.887475174
,MSP78710044,,,,,,,,,,,,,,,Unknown,Point,39.065679192,-76.910151978
,MSP78710043,,,,,,,,,,,,,,,Unknown,Point,39.050817089,-76.930839923
,MSP78710042,,,,,,,,,,,,,,,Unknown,Point,39.022637050,-76.940501165
,MSP78710041,,,,,,,,,,,,,,,Unknown,Point,39.068999746,-76.908446415
,MSP78710039,,,,,,,,,,,,,,,Unknown,Point,38.957689549,-76.865358073
,MSP78710035,,,,,,,,,,,,,,,Unknown,Point,39.017723995,-76.913698413
,MSP78710034,,,,,,,,,,,,,,,Unknown,Point,39.007092369,-76.899064568
,MSP78710031,,,,,,,,,,,,,,,Unknown,Point,39.020196918,-76.933245497
,MSP78710028,,,,,,,,,,,,,,,Unknown,Point,39.006975528,-76.898379856
,MSP78710026,,,,,,,,,,,,,,,Unknown,Point,39.018335811,-76.968910009
,MSP78710024,,,,,,,,,,,,,,,Unknown,Point,39.033327188,-76.909600015
,MSP78710021,,,,,,,,,,,,,,,Unknown,Point,38.988032397,-76.882608379
,MSP78650037,,,,,,,,,,,,,,,Unknown,Point,39.024501449,-76.946416299
,MSP78650034,,,,,,,,,,,,,,,Unknown,Point,38.919126987,-76.934426098
,MSP78650033,,,,,,,,,,,,,,,Unknown,Point,39.078165221,-76.866254952
,MSP78650028,,,,,,,,,,,,,,,Unknown,Point,39.019143885,-76.959547361
,MSP78650027,,,,,,,,,,,,,,,Unknown,Point,38.947404241,-76.859405333
,MSP78650025,,,,,,,,,,,,,,,Unknown,Point,38.958130156,-76.865426398
,MSP78650024,,,,,,,,,,,,,,,Unknown,Point,38.954491138,-76.719634850
,MSP78650023,,,,,,,,,,,,,,,Unknown,Point,38.946950163,-76.842760200
,MSP78650021,,,,,,,,,,,,,,,Unknown,Point,38.947364684,-76.835564080
,MSP78650017,,,,,,,,,,,,,,,Unknown,Point,38.963034252,-76.867414404
,MSP78650016,,,,,,,,,,,,,,,Unknown,Point,38.944059855,-76.875005113
,MSP78650015,,,,,,,,,,,,,,,Unknown,Point,39.014330239,-76.907912554
,MSP78650011,,,,,,,,,,,,,,,Unknown,Point,39.102275629,-76.886751393
,MSP78650010,,,,,,,,,,,,,,,Unknown,Point,39.065883618,-76.909885504
,MSP78430039,,,,,,,,,,,,,,,Unknown,Point,39.030324427,-76.913937032
,MSP78430038,,,,,,,,,,,,,,,Unknown,Point,39.098746077,-76.885668434
,MSP78430036,,,,,,,,,,,,,,,Unknown,Point,38.983670939,-76.878282455
,MSP78430035,,,,,,,,,,,,,,,Unknown,Point,39.018970239,-76.959925007
,MSP78430033,,,,,,,,,,,,,,,Unknown,Point,38.988603133,-76.883064833
,MSP78430032,,,,,,,,,,,,,,,Unknown,Point,39.051702936,-76.930372376
,MSP78430031,,,,,,,,,,,,,,,Unknown,Point,39.030653740,-76.946787545
,MSP78430029,,,,,,,,,,,,,,,Unknown,Point,39.033132088,-76.943875111
,MSP78430028,,,,,,,,,,,,,,,Unknown,Point,38.957460255,-76.864979269
,MSP78430027,,,,,,,,,,,,,,,Unknown,Point,38.963184921,-76.867265747
,MSP78430026,,,,,,,,,,,,,,,Unknown,Point,38.989912460,-76.884348379
,MSP78430023,,,,,,,,,,,,,,,Unknown,Point,39.084230475,-76.862360066
,MSP78430022,,,,,,,,,,,,,,,Unknown,Point,39.087463688,-76.860297458
,MSP78430021,,,,,,,,,,,,,,,Unknown,Point,39.003936806,-76.896370457
,MSP78430018,,,,,,,,,,,,,,,Unknown,Point,39.017379688,-76.954614009
,MSP78430016,,,,,,,,,,,,,,,Unknown,Point,39.002342598,-76.894483568
,MSP78430015,,,,,,,,,,,,,,,Unknown,Point,39.034545274,-76.907798760
,MSP78390068,,,,,,,,,,,,,,,Unknown,Point,38.735117305,-76.826242756
,MSP78390064,,,,,,,,,,,,,,,Unknown,Point,38.722493346,-76.880138320
,MSP78390063,,,,,,,,,,,,,,,Unknown,Point,38.812474039,-76.961547983
,MSP78390062,,,,,,,,,,,,,,,Unknown,Point,38.754370427,-76.879266126
,MSP78390061,,,,,,,,,,,,,,,Unknown,Point,38.927236686,-76.854098358
,MSP78390060,,,,,,,,,,,,,,,Unknown,Point,38.725458319,-76.881419976
,MSP78390059,,,,,,,,,,,,,,,Unknown,Point,38.696793363,-76.873009977
,MSP78390058,,,,,,,,,,,,,,,Unknown,Point,38.818746644,-76.931173319
,MSP78390057,,,,,,,,,,,,,,,Unknown,Point,38.818629986,-76.931729976
,MSP78390055,,,,,,,,,,,,,,,Unknown,Point,38.900906663,-76.788973309
,MSP78390053,,,,,,,,,,,,,,,Unknown,Point,38.818443357,-76.932724984
,MSP78390051,,,,,,,,,,,,,,,Unknown,Point,38.753483361,-76.879406677
,MSP78390050,,,,,,,,,,,,,,,Unknown,Point,38.933641675,-76.717449976
,MSP78390046,,,,,,,,,,,,,,,Unknown,Point,38.890521640,-76.846176689
,MSP78390044,,,,,,,,,,,,,,,Unknown,Point,38.700803323,-76.866991655
,MSP78390041,,,,,,,,,,,,,,,Unknown,Point,38.813448324,-76.959065003
,MSP78390040,,,,,,,,,,,,,,,Unknown,Point,38.857668324,-76.851671330
,MSP78390038,,,,,,,,,,,,,,,Unknown,Point,38.895500278,-76.848127881
,MSP78390037,,,,,,,,,,,,,,,Unknown,Point,38.899439536,-76.831962485
,MSP78390034,,,,,,,,,,,,,,,Unknown,Point,38.898858743,-76.828781140
,MSP78390031,,,,,,,,,,,,,,,Unknown,Point,38.823953662,-76.735739662
,MSP78390030,,,,,,,,,,,,,,,Unknown,Point,38.826911686,-76.879818333
,MSP78390029,,,,,,,,,,,,,,,Unknown,Point,38.948219995,-76.843178316
,MSP78390028,,,,,,,,,,,,,,,Unknown,Point,38.920992361,-76.852550167
,MSP78390025,,,,,,,,,,,,,,,Unknown,Point,38.849230836,-76.860393332
,MSP78390024,,,,,,,,,,,,,,,Unknown,Point,38.753474036,-76.879305012
,MSP78390023,,,,,,,,,,,,,,,Unknown,Point,38.917258078,-76.849229064
,MSP78390022,,,,,,,,,,,,,,,Unknown,Point,38.930388349,-76.854286693
,MSP78390020,,,,,,,,,,,,,,,Unknown,Point,38.822292105,-76.918335975
,MSP78370015,,,,,,,,,,,,,,,Unknown,Point,38.797777781,-76.901193794
,MSP78370014,,,,,,,,,,,,,,,Unknown,Point,38.816811909,-76.949214085
,MSP77870071,,,,,,,,,,,,,,,Unknown,Point,38.948884838,-76.860420455
,MSP77870070,,,,,,,,,,,,,,,Unknown,Point,38.977577648,-76.872849679
,MSP77870068,,,,,,,,,,,,,,,Unknown,Point,39.064415638,-76.911764105
,MSP77870067,,,,,,,,,,,,,,,Unknown,Point,38.946113686,-76.851908181
,MSP77870065,,,,,,,,,,,,,,,Unknown,Point,39.021072708,-76.925562874
,MSP77870064,,,,,,,,,,,,,,,Unknown,Point,39.090392944,-76.893251281
,MSP77870063,,,,,,,,,,,,,,,Unknown,Point,39.016135334,-76.897519303
,MSP77870062,,,,,,,,,,,,,,,Unknown,Point,39.113271126,-76.876343819
,MSP77870061,,,,,,,,,,,,,,,Unknown,Point,38.948330619,-76.858086741
,MSP77870058,,,,,,,,,,,,,,,Unknown,Point,38.925084665,-76.902708950
,MSP77870057,,,,,,,,,,,,,,,Unknown,Point,38.928492743,-76.854127126
,MSP77870056,,,,,,,,,,,,,,,Unknown,Point,38.975645534,-76.871624096
,MSP77870055,,,,,,,,,,,,,,,Unknown,Point,39.000049051,-76.893128101
,MSP77870053,,,,,,,,,,,,,,,Unknown,Point,39.018910813,-76.956754329
,MSP77870052,,,,,,,,,,,,,,,Unknown,Point,39.050201494,-76.931268401
,MSP77870051,,,,,,,,,,,,,,,Unknown,Point,38.996279904,-76.890163616
,MSP77870050,,,,,,,,,,,,,,,Unknown,Point,38.849507731,-76.860615129
,MSP77850049,,,,,,,,,,,,,,,Unknown,Point,38.667225006,-76.875930029
,MSP77850048,,,,,,,,,,,,,,,Unknown,Point,38.918751657,-76.717595342
,MSP77850047,,,,,,,,,,,,,,,Unknown,Point,38.735409987,-76.881833339
,MSP77850045,,,,,,,,,,,,,,,Unknown,Point,38.817820388,-76.907454576
,MSP77850044,,,,,,,,,,,,,,,Unknown,Point,38.680665390,-76.873966892
,MSP77780079,,,,,,,,,,,,,,,Unknown,Point,39.018554194,-76.969410774
,MSP77780077,,,,,,,,,,,,,,,Unknown,Point,39.107133769,-76.882714249
,MSP77780075,,,,,,,,,,,,,,,Unknown,Point,38.997817672,-76.913831954
,MSP77780074,,,,,,,,,,,,,,,Unknown,Point,39.020736874,-76.935316882
,MSP77780073,,,,,,,,,,,,,,,Unknown,Point,38.954780041,-76.719687206
,MSP77780072,,,,,,,,,,,,,,,Unknown,Point,38.954659482,-76.720173221
,MSP77780071,,,,,,,,,,,,,,,Unknown,Point,38.894820259,-76.848496933
,MSP77780070,,,,,,,,,,,,,,,Unknown,Point,38.826865425,-76.879280632
,MSP77760071,,,,,,,,,,,,,,,Unknown,Point,38.962747909,-76.866830929
,MSP77760068,,,,,,,,,,,,,,,Unknown,Point,39.105887098,-76.885058690
,MSP77760067,,,,,,,,,,,,,,,Unknown,Point,39.009386648,-76.901211652
,MSP77760066,,,,,,,,,,,,,,,Unknown,Point,39.079153464,-76.865654656
,MSP77760065,,,,,,,,,,,,,,,Unknown,Point,38.946391679,-76.843656652
,MSP77760062,,,,,,,,,,,,,,,Unknown,Point,38.966937001,-76.866454015
,MSP77760058,,,,,,,,,,,,,,,Unknown,Point,38.931307474,-76.895667277
,MSP77760057,,,,,,,,,,,,,,,Unknown,Point,39.012865002,-76.905566894
,MSP77760056,,,,,,,,,,,,,,,Unknown,Point,39.066772512,-76.879618356
,MSP77760055,,,,,,,,,,,,,,,Unknown,Point,38.946105153,-76.852592467
,MSP77760054,,,,,,,,,,,,,,,Unknown,Point,38.917823328,-76.928243332
,MSP77760053,,,,,,,,,,,,,,,Unknown,Point,38.953575670,-76.728028454
,MSP77760051,,,,,,,,,,,,,,,Unknown,Point,39.099289934,-76.901942747
,MSP77760050,,,,,,,,,,,,,,,Unknown,Point,38.961108782,-76.866346255
,MSP77730033,,,,,,,,,,,,,,,Unknown,Point,38.946682593,-76.844921303
,MSP77730031,,,,,,,,,,,,,,,Unknown,Point,38.949757154,-76.717502271
,MSP77730030,,,,,,,,,,,,,,,Unknown,Point,38.977811330,-76.873210320
,MSP77730028,,,,,,,,,,,,,,,Unknown,Point,38.946464514,-76.847968436
,MSP77730027,,,,,,,,,,,,,,,Unknown,Point,39.077343371,-76.902644525
,MSP77730026,,,,,,,,,,,,,,,Unknown,Point,39.030105738,-76.914161877
,MSP77730025,,,,,,,,,,,,,,,Unknown,Point,39.033958082,-76.942678359
,MSP77730024,,,,,,,,,,,,,,,Unknown,Point,38.946375039,-76.848775657
,MSP77730023,,,,,,,,,,,,,,,Unknown,Point,38.943801000,-76.877652963
,MSP77730022,,,,,,,,,,,,,,,Unknown,Point,39.018250359,-76.921647813
,MSP77730021,,,,,,,,,,,,,,,Unknown,Point,38.930889114,-76.897590249
,MSP77730020,,,,,,,,,,,,,,,Unknown,Point,39.051227526,-76.932688597
,MSP77730017,,,,,,,,,,,,,,,Unknown,Point,38.953479734,-76.717150773
,MSP77730016,,,,,,,,,,,,,,,Unknown,Point,38.918196647,-76.929083345
,MSP77730015,,,,,,,,,,,,,,,Unknown,Point,39.049014371,-76.931619108
,MSP77730012,,,,,,,,,,,,,,,Unknown,Point,38.994577571,-76.888732694
,MSP77730011,,,,,,,,,,,,,,,Unknown,Point,39.035266251,-76.906973254
,MSP77730010,,,,,,,,,,,,,,,Unknown,Point,38.931388842,-76.895840131
,MSP77700089,,,,,,,,,,,,,,,Unknown,Point,38.922318816,-76.853079518
,MSP77700088,,,,,,,,,,,,,,,Unknown,Point,38.750506321,-76.880077919
,MSP77700085,,,,,,,,,,,,,,,Unknown,Point,38.872093354,-76.781565022
,MSP77700083,,,,,,,,,,,,,,,Unknown,Point,38.911521588,-76.850050426
,MSP77700082,,,,,,,,,,,,,,,Unknown,Point,38.856978309,-76.852974989
,MSP77700081,,,,,,,,,,,,,,,Unknown,Point,38.720413672,-76.879406860
,MSP77700078,,,,,,,,,,,,,,,Unknown,Point,38.860260648,-76.849563131
,MSP77700077,,,,,,,,,,,,,,,Unknown,Point,38.843908806,-76.863493187
,MSP77700076,,,,,,,,,,,,,,,Unknown,Point,38.818054984,-76.931484652
,MSP77700074,,,,,,,,,,,,,,,Unknown,Point,38.934009996,-76.855313335
,MSP77700073,,,,,,,,,,,,,,,Unknown,Point,38.818609812,-76.914440723
,MSP77700072,,,,,,,,,,,,,,,Unknown,Point,38.820174215,-76.924693545
,MSP77700070,,,,,,,,,,,,,,,Unknown,Point,38.819282151,-76.927945531
,MSP77700068,,,,,,,,,,,,,,,Unknown,Point,38.817674047,-76.837611572
,MSP77700067,,,,,,,,,,,,,,,Unknown,Point,38.782913362,-76.796451688
,MSP77700066,,,,,,,,,,,,,,,Unknown,Point,38.819405879,-76.927209621
,MSP77700062,,,,,,,,,,,,,,,Unknown,Point,38.698710910,-76.873929834
,MSP77700061,,,,,,,,,,,,,,,Unknown,Point,38.899025015,-76.823773307
,MSP77650088,,,,,,,,,,,,,,,Unknown,Point,38.817913336,-76.941083359
,MSP77650087,,,,,,,,,,,,,,,Unknown,Point,38.807052660,-76.980123464
,MSP77650086,,,,,,,,,,,,,,,Unknown,Point,38.704926649,-76.877971671
,MSP77650084,,,,,,,,,,,,,,,Unknown,Point,38.817815024,-76.939023311
,MSP77650083,,,,,,,,,,,,,,,Unknown,Point,38.864444986,-76.847631687
,MSP77650081,,,,,,,,,,,,,,,Unknown,Point,38.899118025,-76.799550019
,MSP77650079,,,,,,,,,,,,,,,Unknown,Point,38.694035498,-76.872183312
,MSP77650078,,,,,,,,,,,,,,,Unknown,Point,38.723227367,-76.880857835
,MSP77650076,,,,,,,,,,,,,,,Unknown,Point,38.931804948,-76.854529152
,MSP77650074,,,,,,,,,,,,,,,Unknown,Point,38.921490018,-76.717549995
,MSP77650073,,,,,,,,,,,,,,,Unknown,Point,38.815159982,-76.954201683
,MSP77650072,,,,,,,,,,,,,,,Unknown,Point,38.793337514,-77.020782400
,MSP77650071,,,,,,,,,,,,,,,Unknown,Point,38.818105024,-76.933594862
,MSP77650070,,,,,,,,,,,,,,,Unknown,Point,38.843883329,-76.863628008
,MSP77650069,,,,,,,,,,,,,,,Unknown,Point,38.850554852,-76.860112353
